"Title","Director","US_Gross","Critics","Audiences","Director_Gender","First_Gender"
"Valentín","Alejandro Agresti",275400,62,93,"male","male"
"The Terminal","Steven Spielberg",7.7e+07,61,73,"male","male"
"AKA","Duncan Roy",48100,58,65,"male","male"
"The 24th Day","Tony Piccirillo",9900,27,58,"male","male"
"Almost Peaceful","Michel Deville",105900,73,68,"male","male"
"Pride & Prejudice","Andrew Black",369300,66,56,"male","female"
"Spin","James Redford",9900,43,69,"male","male"
"Beauty Shop","Bille Woodruff",36300000,38,62,"female","female"
"Hostage","Florent Siri",34600000,35,62,NA,"male"
"Are We There Yet?","Brian Levant",82300000,11,45,"male","female"
"Hide and Seek","John Polson",51100000,12,50,"male","male"
"Sky High","Mike Mitchell",63900000,73,57,"male","female"
"Sahara","Breck Eisner",68600000,38,53,"male","male"
"The Honeymooners","John Schultz",12800000,13,30,"male","male"
"The Skeleton Key","Iain Softley",47800000,37,58,"male","female"
"Venom","Jim Gillespie",881700,13,21,"male","male"
"Nine Lives","Rodrigo Garcia",478300,76,67,"male","female"
"Good Night, and Good Luck.","George Clooney",31500000,93,83,"male","male"
"Jarhead","Sam Mendes",62600000,60,68,"male","male"
"Pride & Prejudice","Joe Wright",38400000,87,89,"male","female"
"The Ringer","Barry W. Blaustein",35400000,40,68,"male","male"
"Breakfast on Pluto","Neil Jordan",828700,58,80,"male","male"
"Fateless","Lajos Koltai",195900,95,83,NA,"male"
"Curious George","Matthew O'Callaghan",58300000,70,69,"male","male"
"Big Momma's House 2","John Whitesell",70200000,5,57,"male","male"
"Hoodwinked!","Cory Edwards",51200000,46,56,"male","female"
"Summer Storm","Marco Kreuzpaintner",95000,48,78,"male","male"
"Clean","Olivier Assayas",136000,73,66,"male","female"
"Marie Antoinette","Sofia Coppola",1.6e+07,57,56,"female","female"
"Nathalie...","Anne Fontaine",20800,71,54,"female","female"
"The Hoax","Lasse Hallström",7100000,86,58,"male","male"
"Coastlines","Victor Nunez",6500,48,29,"male","male"
"Broken Bridges","Steven Goldmann",251800,5,87,"male","male"
"The Invisible","David S. Goyer",20600000,20,57,"male","male"
"Conversations With God","Stephen Deutsch",422900,7,67,"male","male"
"Vitus","Fredi M. Murer",186500,67,80,"male","male"
"Definitely, Maybe","Adam Brooks",3.2e+07,71,72,"male","male"
"Silk","François Girard",1100000,7,29,NA,"male"
"Fred Claus","David Dobkin",7.2e+07,21,45,"male","male"
"Lars and the Real Girl","Craig Gillespie",5900000,81,84,"male","male"
"The Final Season","David M. Evans",1200000,25,67,"male","male"
"You Kill Me","John Dahl",2400000,79,59,"male","male"
"The Express","Gary Fleder",9600000,62,75,"male","male"
"Mad Money","Callie Khouri",20700000,22,48,"female","female"
"The Haunting in Connecticut","Peter Cornwell",55300000,17,45,"male","male"
"Angels & Demons","Ron Howard",133400000,37,57,"male","male"
"Shelter","Jonah Markowitz",141300,60,85,"male","male"
"The Great Buck Howard","Sean McGinly",748400,71,49,"male","male"
"The Bank Job","Roger Donaldson",3e+07,80,74,"male","male"
"Over Her Dead Body","Jeff Lowell",7600000,14,42,"male","male"
"Imagine That","Karey Kirkpatrick",16100000,41,40,"female","male"
"Changeling","Clint Eastwood",35700000,62,82,"male","female"
"Smart People","Noam Murro",9500000,50,39,"male","male"
"State of Play","Kevin Macdonald",3.7e+07,84,73,"male","male"
"Deal","Gil Cates Jr.",57200,3,38,"male","male"
"Miss Conception","Eric Styles",1300,8,19,"male","female"
"Elegy","Isabel Coixet",3600000,75,61,"female","male"
"Phoebe in Wonderland","Daniel Barnz",73000,61,70,"male","female"
"The Wolfman","Joe Johnston",61900000,33,33,"male","male"
"Hounddog","Deborah Kampmeier",128100,15,47,"female","female"
"Quarantine","John Erick Dowdle",31700000,56,44,"male","female"
"Before the Rains","Santosh Sivan",1e+06,49,50,"male","male"
"Mirrors","Alexandre Aja",30700000,15,44,"male","male"
"Fantastic Mr. Fox","Wes Anderson",2.1e+07,93,85,"male","male"
"Shutter Island","Martin Scorsese",1.28e+08,69,77,"male","male"
"Ninja Assassin","James McTeigue",38100000,26,54,"male","male"
"I Love You, Beth Cooper","Chris Columbus",14800000,13,32,"male","male"
"12 Mighty Orphans","Ty Roberts",3700000,63,94,"male","male"
"12 Monkeys","Terry Gilliam",57100000,88,88,"male","male"
"12 Rounds","Renny Harlin",12200000,31,45,"male","male"
"12 Strong","Nicolai Fuglsig",44300000,50,62,"male","male"
"12 Years a Slave","Steve McQueen",56700000,95,90,"male","male"
"17 Again","Burr Steers",64100000,57,67,"male","male"
"Tooth Fairy","Michael Lembeck",6e+07,17,41,"male","male"
"The Greatest","Shana Feste",115900,55,53,"female","male"
"Easy Virtue","Stephan Elliott",2700000,52,47,"male","female"
"The Crazies","Breck Eisner",39100000,71,57,"male","male"
"Creation","Jon Amiel",340600,47,49,"male","male"
"The Taking of Pelham 123","Tony Scott",65500000,51,52,"male","male"
"Obsessed","Steve Shill",68300000,19,46,"male","male"
"Weather Girl","Blayne Weaver",20900,33,36,"male","female"
"Splice","Vincenzo Natali",1.7e+07,75,37,"male","female"
"It's Complicated","Nancy Meyers",112700000,59,60,"female","female"
"Mystery Team","Dan Eckman",84800,60,64,"male","female"
"Antichrist","Lars von Trier",397100,54,55,"male","male"
"Extract","Mike Judge",10800000,62,38,"male","male"
"Everybody's Fine","Kirk Jones",8900000,47,53,"male","male"
"Last Night","Massy Tadjedin",99000,54,46,NA,"male"
"Life During Wartime","Todd Solondz",278800,68,48,"male","female"
"Remember Me","Allen Coulter",19100000,26,69,"male","male"
"Home","Mary Haverstick",9000,NA,73,"female","female"
"The Eclipse","Conor McPherson",132400,76,48,"male","male"
"The Blind Side","John Lee Hancock",2.56e+08,66,85,"male","female"
"Furry Vengeance","Roger Kumble",17600000,8,32,"male","male"
"Beyond a Reasonable Doubt","Peter Hyams",32400,7,36,"male","male"
"Big Fan","Robert D. Siegel",234400,85,62,"male","male"
"World's Greatest Dad","Bobcat Goldthwait",221200,88,67,NA,"male"
"The Collector","Marcus Dunstan",7700000,29,48,"male","male"
"My One and Only","Richard Loncraine",2500000,69,50,"male","female"
"Kick-Ass","Matthew Vaughn",4.8e+07,77,81,"male","male"
"A Single Man","Tom Ford",9200000,86,81,"male","male"
"Inspector Bellamy","Claude Chabrol",105900,89,37,"male","male"
"Alice in Wonderland","Tim Burton",334200000,50,55,"male","female"
"127 Hours","Danny Boyle",18300000,93,85,"male","male"
"13 Going on 30","Gary Winick",5.6e+07,65,71,"male","female"
"1408","Mikael Håfström",7.2e+07,80,61,"male","male"
"16 Years of Alcohol","Richard Jobson",7500,80,68,"male","male"
"2 Days in New York","Julie Delpy",615500,67,42,"female","male"
"2 Days in Paris","Julie Delpy",4400000,88,71,"female","female"
"2 Fast 2 Furious","John Singleton",127100000,37,50,"male","male"
"20 Dates","Myles Berkowitz",536800,35,47,"male","male"
"2012","Roland Emmerich",166100000,39,47,"male","male"
"2046","Kar-Wai Wong",261500,87,85,NA,"male"
"20th Century Women","Mike Mills",5700000,88,74,"male","female"
"21 Bridges","Brian Kirk",28500000,54,91,"male","male"
"21 Grams","Alejandro González Iñárritu",16200000,81,86,"male","male"
"23 Blast","Dylan Baker",485100,36,66,"male","male"
"24 Hour Party People","Michael Winterbottom",1100000,87,87,"male","male"
"My Soul to Take","Wes Craven",14600000,11,26,"male","male"
"25th Hour","Spike Lee",13100000,79,85,"male","male"
